Entity ID,Entity,Payoff,Product IDs,Internal Product ID,Product Name,Underlying(s),Product Creator,Product Create Time,Product Modify Time,Traded,KID Creator,KID Lang,KID Publish Time,Notional CCY,Notional Amount,FX Rate,Notional (EUR),Moderate Price (%),Moderate Return,RIY @RHP (%),KID Date,SRI
73,CA-CIB,EMTN - Binary Coupon CLN,Internal Code-UXg0L4xu,93815,EMTN - Binary Coupon CLN Glencore," US0003M Index, GLEB5YEUAM=R",NULL,5/15/2018,5/15/2018,,NULL,NULL,NULL,USD,NULL,1.1625,NULL,222.08,17.04,0,6/6/2018,3
73,CA-CIB,EMTN - Call CPN,Internal Code-GasM7YCH,93824,EMTN - Call CPN," SX5E Index, NKY Index, SPX Index, DAXK Index",NULL,5/15/2018,5/15/2018,,NULL,NULL,NULL,EUR,NULL,1,NULL,178.28,12.26,0.45,5/15/2018,2
73,CA-CIB,EMTN - Call CPN,Internal Code-jOLmiqY2,94150,EMTN - Call CPN, SOLOELV Index,NULL,5/29/2018,5/29/2018,,NULL,NULL,NULL,SEK,NULL,10.3392,NULL,148.06,5.77,0,5/29/2018,2
73,CA-CIB,EMTN - Call CPN,ISIN Code-XS1719277813,92446,EMTN - Call SX5E CPN, SX5E Index,NULL,2/28/2018,2/28/2018,Traded,NULL,NULL,NULL,USD,NULL,1.2334,NULL,118.85,NULL,0.47,2/28/2018,2
73,CA-CIB,EMTN - Autocall Basic,Internal Code-yHqSJg83,95772,EMTN - Classic Autocall - EUR - TEST, SX5E Index,CILIO Anthony,9/6/2018,9/12/2018,Traded,NULL,NULL,NULL,EUR,NULL,1,NULL,107.13,1.39,0.41,9/19/2018,5
73,CA-CIB,EMTN - Autocall Basic,Internal Code-dXxhjW86,95878,EMTN - Classic Autocall - EURUSD - PP Finland, EURUSD Curncy,CILIO Anthony,9/17/2018,9/17/2018,,NULL,NULL,NULL,EUR,NULL,1,NULL,117.74,1.65,0.69,9/17/2018,2
73,CA-CIB,EMTN - Autocall Basic,Internal Code-8B86DK1V,95084,EMTN - Classic Autocall - Test against BNP, SX5E Index,CILIO Anthony,7/4/2018,7/4/2018,,NULL,NULL,NULL,EUR,NULL,1,NULL,8.26,-26.67,0.07,9/20/2018,7
73,CA-CIB,EMTN - Autocall Basic,Internal Code-ncTs3xkY,95927,EMTN - Classic Autocall - Test against BNP v2, SX5E Index,CILIO Anthony,9/19/2018,9/20/2018,,NULL,NULL,NULL,EUR,NULL,1,NULL,8.03,-26.93,0.07,9/20/2018,7
73,CA-CIB,EMTN - Autocall Basic,Internal Code-JFsvtPT4,95771,EMTN - Classic Autocall - USD - TEST, SX5E Index,CILIO Anthony,9/6/2018,9/6/2018,,NULL,NULL,NULL,USD,NULL,1.1673,NULL,NULL,NULL,NULL,NULL,NULL
73,CA-CIB,EMTN - CLN on Basket,Internal Code-3aWw9gKJ,93816,EMTN - CLN on Basket," ISPJ5YEUAM=R, TAMT5YEUAM=R, GLEB5YEUAM=R, MKSA5YEUAM=R",NULL,5/15/2018,7/18/2018,,NULL,NULL,NULL,USD,NULL,1.1625,NULL,124.11,4.46,0,7/18/2018,2
